care sort of backlight on there
the box doesn't include a lot
we'll go load a web page
now we've got an interior spot
click on one of these buttons
let's just click on google maps
do a little pinch to zoom
we'll take a little picture here
we have 12 shortcut buttons here
you also can set the buttons
the pen pressure is pretty good
so yeah so that's it guys
thank you for watching my review
there's a micro SD card slot
I'm not sure with cheap tablets
we often a stack with the
the same goes for touch with
he just won two years ago
it's actually quite nice now overall
well it's not that much room
I always do the same battery
it's a very good result overall
the performance is not the best
hello everybody this is my MSM
there's a power button over here
because it's very simple you can
you just plug it in here
it really helps entertain my kids
there's no it helps with you
the monitor itself is pretty responsive
it's nothing you haven't seen before
Android tablet this is Dells refreshed
aesthetic definitely doesn't feel cheap either
and power button on the right
is that the physics scores show
make sure you stop by hot
you're all winners on this channel
let's run through the nitty gritty
this isn't a 4g lte tablet
it feels you know good quality
i was impressed by the brightness
well we'll give it a 5.
uh it's got a six thousand
you know it's full android 9.
it's got a nice bright screen
and then here's the actual tablet
it came down to two tablets
and that's what this thing has
I prefer to sketch with anyway
the pressure sensitivity is 8,192 levels
it's just a little bit different
the contrast the standard settings works
I'm stuck in my old ways
it's one of the most beautiful
I need to get the job
it's very smooth on gen bot
you can see it's very smooth
hey what's up guys this is
so that's really really good now
I mean maybe 10 inches away
the the glass is perfectly smooth
where the entire thing is sticky
I know some people prefer it
but that's totally up to you
it's really not a big deal
I don't have any issue now
I think that's just fine now
also the last thing to mention
Club in there is very nice
the buttons all press well so
I'm very very happy with it
I'm very happy with the product
link is in the description below
i'm shinin on my ex jealous
please shine shining on my hands
we see nowadays a nice detail
the tablet monitor is 21.5 inches
nice pen pressure is also correct
and it's thanks to the opportunity
it does charge up a lot
the cable is not that long
Kokila chin in the Mutai blade
I'm gonna watch any Kabaddi okay
so basically my cell could happen
I could basically Billa could happen
I'd want to do some passionately
which gives you about eight hours
this tablet goes for 65 bucks
you can definitely see the screen
two is a little bit interesting
so you notice the normal ones
that was with the front camera
you're not going to get that
it's not what it's going against
it's going against the Fire tablet
that's one of the latest versions
I don't know if like me
there are front and rear cameras
now there is a multitasking button
you can change it to others
Google's a quick draw web app
this just runs in a website
you can use it for reading
I have a whole separate video
that was a tablet specific device
there are hundreds of these out
just watch the video all right
the tablet is really nicely packaged
the glove is also really nice
my huion had out the back
it works really well when drawing
i messed around in the driver
hi we are from our family
well calm and internet matters bottle
is that really a tablet there
I'm um I'm opening the box
which does require one triple-a battery
you're directing of the kids no
i mean i just love it
the experience is nice for me
it still caters to that now
i think would just help everything
i really like the fix tablet
welcome to tau to connect today
let's go back to home page
well don't have any problems again
I'll show you some videos here
this is the under power processor
but that's very limited in here
it's nice and comfortable to hold
the the onyx is much faster
they have the exact same ink
i got the saturation halfway up
it almost looks like the colors
it has a lot of ghosting
look at this completely different color
so let's talk about the text
thank you guys for watching goodbye
so yeah they stopped buying boxing
this tablet with my knife here
ok go cut the other side
yeah as you can see you
of course um oh this far
um let's start by buying unsealing
so let's start by dripping okay
wow it sounds weird but yes
we have the two rubber grippers
where are your apps are at
we also have the mute option
okay as you can see here
I ran the game pretty decently
but is it really worth $80
touch max 10 running google android
inch ips screen really great specs
i like covering these budget devices
let's just pop this brightness up
nice nice build quality as well
so that's it for the review
thank you very much for watching
this has been a live broadcast
so do tune in for that
but that's not a big deal
hi everyone and welcome back today
a drawing glove is also included
it could do everything I want
art portion of my drawing today
you don't want on your artwork
I've been as I mentioned earlier
it's not going to replace my
it was nice to work on
i feel the screen looks great
the colors are nice and vibrant
the viewing angles are really good
so let's hear that is hello
you can also do some multitasking
this tablet offers really good value
I'm not expecting much from this
it has a 10.1 inch screen
it's known as a smart stylus
Celeron sticker is really bugging me
and this whole system is running
you might notice some fingerprints here
at least that's what afterburner saying
means staying at home at least
I get to work from home
it's already set up for me
thank you for indulging this lie
it's just my fear of change
thank you so much for watching
Bell you know usual YouTube stuff
this is the exact same shot
you don't want it too dark
they're using the exact same screen
you can sideload in your own
now i like that form factor
i reviewed the thinkpad x1 tablet
i'm not being paid by lenovo
i'm not being sponsored by lenovo
lenovo is not getting copy approval
i did not receive a review
the pen and keyboard are included
it uses one quadruple a battery
taking a look at the keyboard
it also has a precision touchpad
it does get bright at 390
nits has really good black points
well you're looking at 92 srgb
i love the included excellent keyboard
i really liked it a lot
it's got the magnesium alloy chassis
let me know how i'm doing
1/8 gen intel core i5 processor
you'll get slightly better battery life
a bit light for me personally
but that's offset by the overall
do make this tablet stand out
keys is a form over function
what makes this tablet shine installing
the tablet also boasts android support
thank you so much for watching
hi everyone this is teo from
some finger smudges from my hand
the build quality is very solid
I have tried from 3 on
the red light will show up
I have already installed the driver
I think is a good choice
just dial it up or down
V Photoshop cs5 on the Mac
I cannot be any of you
but now it's actually very usable
this is ought to be illustrator
Pro pressure works here very well
strokes tapers smoothly and secure strokes
this is taya sweet catches pearl
I think it's a good choice
that's the end of today's review
I hope this video is helpful
there's also a few custom asus
that might be even more appealing
lets you run full-screen immersive applications
price is about twenty-five twenty-five dollars
yeah that's about three four feet
nice nice holding for the pan
what's really nice about the depen
I use both monitors all right
both stored in their pen pouches
let's move on to the driver
I recommend doing it that way
I'll go ahead and unplug this
you just take the casing off
the cutout on this is superlative
it has eight gigs left with
I'll go into my written review
kids headphones paired up with it
I have had value in kid
and boy can they get loud
but that's for the FM transmitter
I have to applaud context here
maybe your 40 quid 50 quid
basically apart from the ips display
hey everyone this is teal from
Park Blocks calm in today's video
I'm going to review there's tablet
so the highlight of this tablet
so let's take a look inside
I think that's a good price
we have another camera as well
this tablet is a bit thick
the resolution is 1280 by 800
I'm going to use sketchbook since
I was actually resting my palm
you see all these dots here
to draw with compared to sketchbook
I think this would be perfect
and those are much more expensive
I hope this video is helpful
might sound like a big amount
model that run into the thousands
so this tablet is pretty big
I was touching on the screen
let's read the back of it
but here's all of the wording
this has already been cut open
i didn't is it that big
i don't yeah it is wait
i really like the felt pouch
yay i went for the pen
it's a bag inside a bag
thank you from damn on that
not the display on the tablet
we have four gigs of ram
this is a resolution of 720p
I'm seeing it's a black screen
I'm using the keyboard and mouse
i'm gonna do a speed paint
Bring a pencil with its own
I will animate a little bit
I'm going to start by unboxing
there is the pen that now
I enjoyed working on this tablet
it's another great product from Galman
this is probably nino's medium-sized graphics
c and one micro usb adapter
the pen is not heavy enough
i believe you will find it
it's a very cool looking software
tablet it's about 50 on amazon
pablo nino's m has different colors
it was heavy it was bulky
it provides a fairly decent performance
you've nothing to maybe worry about
I personally recommend the Amazon fire
screw your conventional review video methods
we do things different around here
that's larger than most phone screens
on the back of the tablet
you will be given four screws
it saved me all the time
this may all be slightly confusing
export tablet configurations and import ones
I hope you all enjoyed that
the first box was another box
protector that simulates drawing on paper
I usually use is very refreshing
it comes with its own screwdriver
it's really nice to erase things
i have with the cintiq 16.
the express menu isn't very intuitive
ac 19 will come out soon
alpaca is completely free drawing program
because otherwise you'll have it moving
i've never used a glove before
you just slide it and this
that's the back button home button
let me open one more tab
I'm loading the same right now
you can also load them normal
I have noticed the battery life
now some of the things that
so no shoes with that also
what do you say office files
that's it for now this is
that is it for this video
don't want to work right now
: data bar bar trailer 1080p
let's do it again exactly then
all the apps here are pre-installed
you can even move it around
it knows where we are so
but that's actually not that interesting
we could try that that's actually
I'm like regular user I guess
you can write anything you want
the calendar is also well standard
